employee_id,department,role,week,typing_speed_wpm,meeting_hours_per_day,after_hours_app_usage_hrs,weekend_logins,calendar_density,slack_response_time_min,task_completion_rate,pto_days_used,focus_time_blocks,email_volume_per_day,burnout_score,risk_label
EMP_0002,Engineering,Senior,7,60.77,3.24,0.31,1,0.239,4.15,0.883,0,4.96,38.48,24.39,Low
EMP_0002,Engineering,Senior,8,60.87,2.03,1.33,2,0.43,25.72,0.759,0,2.81,50.67,31.63,Low
EMP_0002,Engineering,Senior,9,60.36,4.63,0.32,0,0.647,21.12,0.767,0,3.07,48.02,27.2,Low
EMP_0002,Engineering,Senior,10,55.03,2.86,0.17,1,0.389,13.61,0.893,2,2.62,28.99,19.36,Low
EMP_0002,Engineering,Senior,11,58.87,3.87,1.8,1,0.344,14.29,0.829,2,2.92,35.06,31.51,Low
EMP_0002,Engineering,Senior,12,61.78,1.71,0.56,0,0.418,13.61,0.905,1,4.18,26.21,12.98,Low
EMP_0003,Marketing,Mid,1,45.99,3.04,1.18,5,0.668,20.16,0.796,1,2.62,46.97,35.84,Low
EMP_0003,Marketing,Mid,2,51.12,4.24,1.92,2,0.691,15.24,0.776,1,2.98,36.04,35.14,Low
EMP_0003,Marketing,Mid,3,59.11,4.04,1.2,1,0.537,17.04,0.751,0,2.44,43.17,32.48,Low
EMP_0003,Marketing,Mid,4,59.65,2.78,0.75,5,0.574,26.95,0.797,0,2.71,37.01,32.7,Low
EMP_0003,Marketing,Mid,5,55.47,3.57,1.93,2,0.732,20.0,0.756,1,2.64,50.15,38.93,Low
EMP_0003,Marketing,Mid,6,53.59,5.5,2.23,4,0.581,27.41,0.652,0,2.93,26.38,40.04,Medium
EMP_0003,Marketing,Mid,7,43.07,4.76,2.14,4,0.706,16.95,0.806,2,2.42,42.48,42.44,Medium
EMP_0003,Marketing,Mid,8,48.18,4.18,2.32,2,0.609,23.51,0.806,2,2.74,34.13,35.72,Low
EMP_0003,Marketing,Mid,9,42.06,5.65,2.95,2,0.857,36.91,0.664,0,2.07,61.43,55.83,Medium
EMP_0003,Marketing,Mid,10,53.93,4.9,2.47,2,0.424,30.07,0.766,0,2.44,55.82,39.22,Low
EMP_0003,Marketing,Mid,11,57.87,4.67,1.8,3,0.68,28.66,0.647,0,2.68,36.55,37.65,Low
EMP_0003,Marketing,Mid,12,41.97,7.19,2.5,2,0.69,27.64,0.629,0,1.27,55.93,36.88,Low
EMP_0004,Marketing,Junior,1,58.67,4.74,1.76,1,0.461,15.62,0.705,1,2.57,20.27,34.82,Low
EMP_0004,Marketing,Junior,2,50.46,6.38,2.0,0,0.692,7.11,0.715,0,2.35,34.03,29.68,Low
EMP_0004,Marketing,Junior,3,57.35,4.48,1.84,1,0.584,29.99,0.82,1,2.71,32.14,39.56,Low
EMP_0004,Marketing,Junior,4,48.44,2.88,1.78,0,0.505,16.89,0.731,0,2.54,40.42,25.9,Low
EMP_0004,Marketing,Junior,5,57.21,3.88,1.58,1,0.571,22.26,0.764,1,3.25,33.4,28.19,Low
EMP_0004,Marketing,Junior,6,49.96,2.7,1.53,0,0.398,24.04,0.693,1,2.88,38.87,27.2,Low
EMP_0004,Marketing,Junior,7,61.52,3.24,1.69,3,0.4,20.65,0.762,2,3.02,37.74,34.05,Low
EMP_0004,Marketing,Junior,8,59.5,4.95,1.8,1,0.674,22.99,0.714,0,3.36,44.63,40.68,Medium
EMP_0004,Marketing,Junior,9,40.97,3.96,1.14,4,0.611,30.22,0.697,0,1.53,56.82,42.59,Medium
EMP_0004,Marketing,Junior,10,50.24,5.31,1.94,2,0.7,19.75,0.713,2,2.18,55.67,38.1,Low
EMP_0004,Marketing,Junior,11,60.38,2.94,1.7,2,0.646,12.31,0.748,2,3.28,36.36,32.8,Low
EMP_0004,Marketing,Junior,12,47.1,4.29,1.86,6,0.795,30.13,0.796,2,2.21,64.85,49.32,Medium
EMP_0005,Operations,Manager,1,64.36,2.73,1.32,2,0.218,12.31,0.894,0,2.69,30.79,21.61,Low
EMP_0005,Operations,Manager,2,52.2,3.06,1.28,2,0.354,16.9,0.767,2,3.14,32.53,27.93,Low
EMP_0005,Operations,Manager,3,58.42,3.33,2.19,0,0.34,12.74,0.885,1,3.87,15.43,21.59,Low
EMP_0005,Operations,Manager,4,55.17,3.48,1.46,1,0.463,16.62,0.805,1,2.62,30.32,23.8,Low
EMP_0005,Operations,Manager,5,54.5,3.97,0.57,0,0.568,20.89,0.735,2,2.47,40.68,30.3,Low
EMP_0005,Operations,Manager,6,58.4,1.68,1.64,2,0.356,5.54,0.746,1,3.67,13.45,32.65,Low
EMP_0005,Operations,Manager,7,63.3,3.29,0.82,0,0.599,16.37,0.716,1,3.27,31.64,25.67,Low
EMP_0005,Operations,Manager,8,60.95,1.85,1.14,2,0.47,18.6,0.896,0,3.78,30.32,27.67,Low
EMP_0005,Operations,Manager,9,54.42,3.51,1.38,0,0.414,9.01,0.817,0,2.61,24.1,18.59,Low
EMP_0005,Operations,Manager,10,60.98,5.52,1.24,2,0.475,19.54,0.889,0,2.79,35.76,30.39,Low
EMP_0005,Operations,Manager,11,60.08,4.36,0.4,0,0.6,14.61,0.856,1,2.53,38.64,16.78,Low
EMP_0005,Operations,Manager,12,54.12,4.25,1.77,4,0.391,19.34,0.795,0,2.85,30.85,39.27,Low
EMP_0006,Engineering,Manager,1,53.56,4.79,1.7,2,0.584,14.84,0.756,0,2.71,38.66,40.53,Medium
EMP_0006,Engineering,Manager,2,49.42,4.55,0.7,4,0.586,26.99,0.707,0,3.32,49.58,39.03,Low
EMP_0006,Engineering,Manager,3,49.96,5.73,2.71,1,0.568,17.5,0.662,0,1.43,35.97,34.46,Low
EMP_0006,Engineering,Manager,4,54.92,5.49,1.92,3,0.654,27.7,0.712,0,3.54,42.85,37.87,Low
EMP_0006,Engineering,Manager,5,50.62,5.19,2.39,2,0.523,18.26,0.697,1,2.18,43.7,37.23,Low
EMP_0006,Engineering,Manager,6,57.03,4.41,1.8,2,0.397,15.05,0.781,0,2.16,37.64,32.42,Low
EMP_0006,Engineering,Manager,7,32.44,4.33,2.88,3,0.713,28.93,0.688,0,2.52,54.36,53.31,Medium
EMP_0006,Engineering,Manager,8,56.67,4.32,2.37,2,0.638,26.99,0.748,0,1.82,51.69,41.16,Medium
EMP_0006,Engineering,Manager,9,52.25,4.78,1.38,3,0.717,26.8,0.773,1,2.59,48.9,35.98,Low
EMP_0006,Engineering,Manager,10,53.82,4.14,1.91,3,0.641,20.6,0.711,1,1.46,30.7,35.2,Low
EMP_0006,Engineering,Manager,11,38.54,4.08,3.1,2,0.73,39.43,0.677,0,1.92,57.64,57.54,Medium
EMP_0006,Engineering,Manager,12,46.23,5.4,1.91,1,0.643,23.98,0.746,0,2.15,49.58,40.4,Medium
EMP_0007,HR,Junior,1,58.5,5.01,1.55,2,0.614,21.44,0.716,0,2.77,27.97,35.04,Low
EMP_0007,HR,Junior,2,51.82,3.45,1.96,1,0.527,16.23,0.877,0,2.53,45.84,32.27,Low
EMP_0007,HR,Junior,3,54.01,3.72,1.5,2,0.531,28.82,0.781,1,2.75,25.4,30.63,Low
EMP_0007,HR,Junior,4,52.38,3.7,1.02,0,0.71,22.02,0.733,0,3.14,40.62,26.48,Low
EMP_0007,HR,Junior,5,53.56,3.83,2.11,4,0.633,23.18,0.771,1,2.73,60.93,38.97,Low
EMP_0007,HR,Junior,6,57.01,3.28,1.11,3,0.578,15.65,0.764,1,3.94,38.33,31.85,Low
EMP_0007,HR,Junior,7,52.78,4.11,2.0,3,0.532,11.75,0.854,1,1.97,34.83,36.88,Low
EMP_0007,HR,Junior,8,56.11,5.14,2.16,1,0.594,20.98,0.726,1,2.44,39.36,41.95,Medium
EMP_0007,HR,Junior,9,54.13,4.87,0.4,1,0.576,22.0,0.744,0,2.09,49.46,27.79,Low
EMP_0007,HR,Junior,10,50.09,4.08,2.36,1,0.506,31.23,0.637,0,2.54,65.28,45.07,Medium
EMP_0007,HR,Junior,11,59.86,4.85,2.01,3,0.526,17.44,0.732,0,3.19,39.17,40.13,Medium
EMP_0007,HR,Junior,12,53.61,3.73,1.65,3,0.589,23.74,0.729,1,3.17,35.0,37.78,Low
EMP_0008,Engineering,Junior,1,58.01,2.98,0.48,0,0.292,7.5,0.876,4,4.19,27.06,14.58,Low
EMP_0008,Engineering,Junior,2,62.31,3.49,1.05,0,0.267,17.7,0.816,2,3.77,25.55,22.76,Low
EMP_0008,Engineering,Junior,3,63.06,3.88,0.83,0,0.427,16.41,0.784,3,3.47,28.29,22.13,Low
EMP_0008,Engineering,Junior,4,62.4,1.51,0.0,1,0.212,7.49,0.795,0,3.37,38.48,21.14,Low
EMP_0008,Engineering,Junior,5,49.78,2.25,0.63,1,0.512,5.18,0.764,1,4.67,33.76,27.12,Low
EMP_0008,Engineering,Junior,6,62.99,3.59,0.87,0,0.403,15.1,0.825,0,2.91,21.87,15.52,Low
EMP_0008,Engineering,Junior,7,49.52,3.5,1.64,0,0.525,8.96,0.8,0,2.78,36.24,36.79,Low
EMP_0008,Engineering,Junior,8,64.46,1.06,0.47,1,0.364,14.29,0.882,4,3.58,27.29,10.21,Low
EMP_0008,Engineering,Junior,9,54.79,2.24,0.24,1,0.489,7.61,0.854,1,2.91,30.45,22.86,Low
EMP_0008,Engineering,Junior,10,64.62,3.47,1.18,0,0.306,1.83,0.859,1,4.98,18.47,26.27,Low
EMP_0008,Engineering,Junior,11,65.3,3.8,0.84,1,0.361,6.37,0.796,1,3.05,29.43,18.93,Low
EMP_0008,Engineering,Junior,12,62.47,3.47,1.32,1,0.574,8.01,0.893,1,3.45,36.55,25.14,Low
EMP_0009,Marketing,Mid,1,62.09,1.62,0.51,1,0.303,16.09,0.874,1,2.98,24.97,23.45,Low
EMP_0009,Marketing,Mid,2,61.63,2.22,0.72,1,0.452,14.02,0.785,1,3.05,28.85,25.81,Low
EMP_0009,Marketing,Mid,3,55.52,1.07,0.79,3,0.648,11.36,0.836,2,3.79,32.72,23.3,Low
EMP_0009,Marketing,Mid,4,59.46,3.3,0.21,0,0.414,12.4,0.823,3,3.55,23.52,21.3,Low
EMP_0009,Marketing,Mid,5,54.71,2.75,0.44,0,0.405,14.98,0.828,1,1.94,32.27,21.77,Low
EMP_0009,Marketing,Mid,6,57.2,3.99,1.18,0,0.327,10.44,0.814,0,3.32,22.76,20.76,Low
EMP_0009,Marketing,Mid,7,58.37,2.76,0.24,2,0.559,8.22,0.788,0,3.77,30.88,27.89,Low
EMP_0009,Marketing,Mid,8,66.38,2.02,0.0,0,0.447,4.66,0.869,0,3.14,24.74,16.91,Low
EMP_0009,Marketing,Mid,9,52.17,4.25,0.0,0,0.372,8.68,0.94,1,4.36,24.39,13.45,Low
EMP_0009,Marketing,Mid,10,62.05,2.35,1.02,1,0.495,21.83,0.848,2,3.59,36.55,20.55,Low
EMP_0009,Marketing,Mid,11,62.19,4.03,0.37,0,0.39,8.06,0.86,0,3.19,36.9,14.5,Low
EMP_0009,Marketing,Mid,12,48.29,3.18,1.78,1,0.67,23.71,0.799,1,2.36,37.57,31.61,Low
EMP_0010,Finance,Manager,1,59.13,5.36,0.9,5,0.597,15.4,0.736,1,2.46,20.57,45.17,Medium
EMP_0010,Finance,Manager,2,50.59,3.39,1.17,2,0.608,15.42,0.758,1,3.03,41.71,35.25,Low
EMP_0010,Finance,Manager,3,50.5,4.26,1.56,1,0.536,18.48,0.756,2,3.46,38.78,33.55,Low
EMP_0010,Finance,Manager,4,64.19,2.34,1.44,5,0.508,18.88,0.802,1,2.37,48.95,31.2,Low
EMP_0010,Finance,Manager,5,65.18,3.95,0.63,2,0.549,10.0,0.722,0,3.34,33.35,35.78,Low
EMP_0010,Finance,Manager,6,51.42,2.96,2.47,2,0.437,28.68,0.699,1,3.83,55.5,48.1,Medium
EMP_0010,Finance,Manager,7,62.84,4.83,1.23,2,0.641,19.62,0.723,2,1.32,47.04,31.91,Low
EMP_0010,Finance,Manager,8,50.78,3.89,1.41,5,0.667,22.59,0.742,1,2.3,54.65,48.23,Medium
EMP_0010,Finance,Manager,9,49.92,2.67,0.94,1,0.578,22.2,0.77,1,2.9,47.18,23.75,Low
EMP_0010,Finance,Manager,10,57.67,3.39,1.95,3,0.377,17.12,0.832,1,3.73,33.35,29.68,Low
EMP_0010,Finance,Manager,11,58.01,3.58,0.89,3,0.427,15.52,0.768,0,1.69,44.61,33.33,Low
EMP_0010,Finance,Manager,12,57.4,3.44,0.97,2,0.299,11.64,0.847,0,2.6,21.72,35.02,Low
EMP_0011,Engineering,Manager,1,49.24,4.09,1.54,3,0.539,21.1,0.732,1,2.49,36.81,29.27,Low
EMP_0011,Engineering,Manager,2,52.24,4.84,2.32,3,0.614,20.06,0.704,0,3.13,39.9,43.38,Medium
EMP_0011,Engineering,Manager,3,50.75,3.6,1.84,4,0.758,24.34,0.721,1,2.49,37.79,40.73,Medium
EMP_0011,Engineering,Manager,4,56.79,4.76,1.52,4,0.432,24.92,0.729,1,3.11,51.35,36.67,Low
EMP_0011,Engineering,Manager,5,54.37,3.93,1.64,4,0.729,21.85,0.678,1,2.27,36.8,35.99,Low
EMP_0011,Engineering,Manager,6,50.89,5.05,2.98,5,0.66,32.63,0.732,1,3.4,51.82,46.97,Medium
EMP_0011,Engineering,Manager,7,54.71,4.57,2.65,3,0.626,22.01,0.613,1,2.82,36.57,39.99,Low
EMP_0011,Engineering,Manager,8,50.19,5.84,1.75,4,0.623,24.81,0.727,0,2.01,41.79,42.7,Medium
EMP_0011,Engineering,Manager,9,51.47,4.72,1.47,3,0.666,27.42,0.661,3,1.95,49.71,41.84,Medium
EMP_0011,Engineering,Manager,10,53.29,4.89,1.76,5,0.621,26.99,0.692,0,2.22,46.45,46.81,Medium
EMP_0011,Engineering,Manager,11,49.87,6.26,2.36,3,0.879,35.08,0.709,0,0.7,55.29,40.35,Medium
EMP_0011,Engineering,Manager,12,56.08,5.32,2.78,2,0.694,20.98,0.712,2,2.16,38.22,42.42,Medium
EMP_0012,Marketing,Manager,1,66.94,2.99,0.54,0,0.474,1.0,0.822,2,3.56,33.5,26.58,Low
EMP_0012,Marketing,Manager,2,68.24,1.85,0.89,0,0.359,5.78,0.959,3,3.5,21.68,14.96,Low
EMP_0012,Marketing,Manager,3,59.75,0.84,0.35,0,0.169,2.05,0.892,0,3.52,26.15,16.62,Low
EMP_0012,Marketing,Manager,4,58.06,1.31,0.67,1,0.423,7.32,0.823,2,3.1,24.92,15.87,Low
EMP_0012,Marketing,Manager,5,52.27,1.48,0.69,1,0.444,8.16,0.852,0,3.61,22.52,16.15,Low
EMP_0012,Marketing,Manager,6,62.86,1.05,0.22,0,0.549,8.33,0.868,2,3.43,26.93,15.88,Low
EMP_0012,Marketing,Manager,7,60.48,3.72,1.02,0,0.503,7.61,0.822,0,2.46,25.95,35.85,Low
EMP_0012,Marketing,Manager,8,60.73,2.5,0.0,0,0.432,14.2,0.896,2,4.19,31.69,13.12,Low
EMP_0012,Marketing,Manager,9,62.73,3.37,0.0,1,0.353,20.29,0.865,1,3.26,20.1,13.58,Low
EMP_0012,Marketing,Manager,10,61.48,3.32,0.9,0,0.319,3.48,0.935,1,3.24,37.87,15.51,Low
EMP_0012,Marketing,Manager,11,60.29,2.46,0.62,0,0.359,3.03,0.847,0,3.58,37.48,20.81,Low
EMP_0012,Marketing,Manager,12,61.51,2.33,0.42,1,0.196,1.0,0.896,0,2.73,37.89,26.75,Low
EMP_0013,HR,Mid,1,46.38,3.49,1.05,0,0.478,13.12,0.712,2,2.26,41.15,38.42,Low
EMP_0013,HR,Mid,2,50.5,4.22,1.94,2,0.501,19.33,0.884,0,2.01,41.94,41.15,Medium
EMP_0013,HR,Mid,3,55.58,3.88,1.78,3,0.54,23.32,0.734,0,2.76,50.29,29.59,Low
EMP_0013,HR,Mid,4,51.16,3.45,2.13,2,0.66,17.76,0.776,1,3.54,48.58,35.09,Low
EMP_0013,HR,Mid,5,55.58,2.13,2.19,0,0.629,33.37,0.702,1,2.25,38.81,39.3,Low
EMP_0013,HR,Mid,6,52.33,4.77,1.76,1,0.623,22.6,0.718,2,2.96,44.7,38.05,Low
EMP_0013,HR,Mid,7,52.77,3.71,1.73,1,0.528,19.19,0.703,2,2.5,49.07,31.36,Low
EMP_0013,HR,Mid,8,52.18,4.87,2.23,0,0.577,19.04,0.674,0,2.15,50.08,35.58,Low
EMP_0013,HR,Mid,9,46.71,4.01,1.63,3,0.567,20.93,0.791,0,3.58,51.09,37.49,Low
EMP_0013,HR,Mid,10,52.55,4.67,1.78,3,0.476,24.44,0.658,0,2.74,35.8,38.69,Low
EMP_0013,HR,Mid,11,46.76,5.03,2.74,2,0.574,31.78,0.63,0,1.98,43.99,47.94,Medium
EMP_0013,HR,Mid,12,51.69,4.38,1.73,4,0.565,31.21,0.815,1,1.98,45.91,34.45,Low
EMP_0014,HR,Manager,1,51.06,4.58,1.4,1,0.488,20.04,0.764,1,2.2,35.65,24.03,Low
EMP_0014,HR,Manager,2,49.4,3.34,2.0,2,0.476,28.29,0.759,1,3.12,31.1,32.04,Low
EMP_0014,HR,Manager,3,51.08,4.81,0.84,1,0.703,17.71,0.787,0,1.93,40.09,23.46,Low
EMP_0014,HR,Manager,4,51.21,3.44,0.72,2,0.495,17.26,0.805,1,2.96,44.67,24.77,Low
EMP_0014,HR,Manager,5,56.24,4.21,1.98,1,0.633,21.94,0.813,0,3.12,31.1,35.71,Low
EMP_0014,HR,Manager,6,58.43,2.71,1.08,0,0.475,15.95,0.834,1,2.7,44.2,24.14,Low
EMP_0014,HR,Manager,7,50.78,3.09,1.0,3,0.466,19.37,0.838,0,2.43,42.62,32.86,Low
EMP_0014,HR,Manager,8,54.52,4.65,1.36,1,0.449,29.39,0.68,1,2.93,37.07,31.41,Low
EMP_0014,HR,Manager,9,62.42,3.19,1.75,2,0.63,23.13,0.727,1,1.51,50.74,44.72,Medium
EMP_0014,HR,Manager,10,50.66,3.63,1.15,0,0.531,16.38,0.755,1,3.3,40.8,21.66,Low
EMP_0014,HR,Manager,11,52.83,3.7,2.0,0,0.789,18.74,0.73,0,2.57,52.37,34.63,Low
EMP_0014,HR,Manager,12,53.85,5.04,0.89,0,0.394,7.35,0.731,4,2.35,28.09,29.24,Low
EMP_0015,Sales,Junior,1,51.3,4.11,1.15,1,0.396,14.43,0.82,2,3.32,56.36,24.57,Low
EMP_0015,Sales,Junior,2,62.0,3.41,1.63,2,0.536,10.06,0.756,1,2.51,35.68,33.47,Low
EMP_0015,Sales,Junior,3,59.12,3.94,1.83,2,0.394,17.64,0.832,0,2.74,35.47,31.41,Low
EMP_0015,Sales,Junior,4,55.52,3.96,0.0,0,0.367,10.13,0.828,2,2.55,25.58,12.52,Low
EMP_0015,Sales,Junior,5,52.99,4.31,1.85,4,0.517,16.54,0.766,1,3.03,34.83,39.14,Low
EMP_0015,Sales,Junior,6,58.67,3.89,0.28,1,0.433,16.53,0.897,0,4.7,42.36,27.11,Low
EMP_0015,Sales,Junior,7,56.94,4.24,1.71,2,0.572,12.32,0.701,3,3.17,39.13,21.96,Low
EMP_0015,Sales,Junior,8,57.24,4.03,1.53,1,0.333,14.29,0.834,2,3.36,49.32,27.77,Low
EMP_0015,Sales,Junior,9,54.52,4.17,0.86,2,0.733,18.83,0.655,1,2.06,52.06,41.15,Medium
EMP_0015,Sales,Junior,10,61.34,4.37,2.07,2,0.758,17.43,0.761,0,1.9,42.39,27.9,Low
EMP_0015,Sales,Junior,11,50.34,4.37,2.14,3,0.597,31.34,0.688,0,1.96,37.33,42.55,Medium
EMP_0015,Sales,Junior,12,58.57,2.17,0.97,1,0.606,11.21,0.775,0,4.08,20.39,20.85,Low
EMP_0016,Marketing,Lead,1,56.34,2.01,0.71,1,0.408,8.35,0.826,2,4.09,36.22,13.41,Low
EMP_0016,Marketing,Lead,2,65.51,3.64,0.75,1,0.458,12.89,0.858,2,2.82,28.6,20.77,Low
EMP_0016,Marketing,Lead,3,63.7,2.78,1.19,0,0.371,6.92,0.831,2,3.26,15.47,27.76,Low
EMP_0016,Marketing,Lead,4,66.54,3.72,0.32,0,0.464,11.88,0.78,0,2.98,44.37,20.28,Low
EMP_0016,Marketing,Lead,5,56.42,3.33,1.1,2,0.489,20.61,0.849,2,3.63,29.69,32.53,Low
EMP_0016,Marketing,Lead,6,72.42,3.53,0.52,2,0.276,15.06,0.804,1,4.31,24.4,25.2,Low
EMP_0016,Marketing,Lead,7,56.03,3.11,1.22,0,0.436,10.81,0.889,1,3.17,28.8,25.62,Low
EMP_0016,Marketing,Lead,8,58.35,3.11,1.42,1,0.519,9.23,0.667,0,3.22,40.56,32.4,Low
EMP_0016,Marketing,Lead,9,54.36,1.89,1.09,1,0.424,17.7,0.719,1,3.59,36.61,27.19,Low
EMP_0016,Marketing,Lead,10,56.83,5.44,0.78,0,0.426,21.16,0.713,0,3.25,45.78,33.66,Low
EMP_0016,Marketing,Lead,11,56.39,3.78,0.69,0,0.451,27.94,0.814,0,3.03,29.66,20.85,Low
EMP_0016,Marketing,Lead,12,49.1,5.3,2.91,3,0.523,26.29,0.582,1,2.45,36.71,45.92,Medium
EMP_0017,Sales,Senior,1,52.47,3.28,0.71,2,0.567,3.66,0.792,0,4.3,27.22,32.95,Low
EMP_0017,Sales,Senior,2,61.87,4.62,1.28,3,0.479,24.32,0.795,2,2.84,46.12,30.8,Low
EMP_0017,Sales,Senior,3,54.16,4.64,1.67,0,0.541,16.16,0.769,0,2.67,49.69,25.95,Low
EMP_0017,Sales,Senior,4,53.05,3.2,1.18,1,0.602,24.14,0.805,1,2.37,41.81,33.12,Low
EMP_0017,Sales,Senior,5,62.53,4.22,1.79,1,0.599,24.55,0.835,1,2.89,37.96,32.87,Low
EMP_0017,Sales,Senior,6,55.24,5.53,2.16,3,0.752,20.18,0.695,0,2.32,35.64,38.02,Low
EMP_0017,Sales,Senior,7,55.67,4.6,0.96,3,0.687,13.65,0.803,2,2.42,33.93,27.03,Low
EMP_0017,Sales,Senior,8,57.68,4.84,1.01,3,0.597,18.54,0.687,0,1.67,38.99,37.29,Low
EMP_0017,Sales,Senior,9,54.56,3.97,1.98,6,0.543,17.84,0.743,0,3.01,46.73,36.02,Low
EMP_0017,Sales,Senior,10,57.32,4.26,0.67,1,0.341,18.15,0.87,0,3.51,36.01,28.9,Low
EMP_0017,Sales,Senior,11,58.14,4.6,2.57,4,0.768,25.03,0.655,2,1.8,44.51,50.92,Medium
EMP_0017,Sales,Senior,12,54.02,4.27,2.12,5,0.839,25.6,0.745,0,2.96,50.68,39.74,Low
EMP_0018,Marketing,Mid,1,55.02,5.05,1.68,0,0.547,24.76,0.823,3,1.74,33.61,31.68,Low
EMP_0018,Marketing,Mid,2,51.17,3.73,1.59,2,0.494,14.85,0.789,3,2.61,41.18,27.55,Low
EMP_0018,Marketing,Mid,3,58.28,3.69,1.82,0,0.492,14.67,0.768,4,2.65,34.91,24.98,Low
EMP_0018,Marketing,Mid,4,52.68,3.37,1.18,0,0.35,15.89,0.737,0,3.43,33.7,23.75,Low
EMP_0018,Marketing,Mid,5,63.63,2.73,1.04,2,0.539,17.17,0.734,0,3.65,38.7,29.64,Low
EMP_0018,Marketing,Mid,6,50.16,4.18,0.93,1,0.53,15.12,0.803,0,2.54,29.55,15.82,Low
EMP_0018,Marketing,Mid,7,63.02,4.88,1.91,5,0.615,21.47,0.663,1,3.23,41.79,46.54,Medium
EMP_0018,Marketing,Mid,8,53.73,3.47,0.43,1,0.562,12.89,0.741,1,4.16,22.11,29.28,Low
EMP_0018,Marketing,Mid,9,54.4,3.46,1.46,1,0.508,19.79,0.766,2,2.36,35.4,26.93,Low
EMP_0018,Marketing,Mid,10,64.0,4.34,1.14,1,0.364,18.87,0.816,0,2.97,36.32,27.72,Low
EMP_0018,Marketing,Mid,11,49.55,4.82,0.8,1,0.548,18.72,0.683,0,2.43,51.65,40.76,Medium
EMP_0018,Marketing,Mid,12,56.48,1.3,0.87,3,0.449,18.15,0.795,2,2.0,29.78,25.78,Low
EMP_0019,Sales,Junior,1,68.65,2.29,0.0,0,0.329,5.67,0.881,1,3.5,15.66,9.71,Low
EMP_0019,Sales,Junior,2,68.39,2.84,0.21,0,0.441,18.59,0.848,0,3.97,38.07,19.58,Low
EMP_0019,Sales,Junior,3,61.61,2.43,0.41,1,0.386,16.52,0.913,2,3.86,29.1,13.72,Low
EMP_0019,Sales,Junior,4,55.46,3.63,1.43,1,0.356,10.81,0.748,1,3.22,34.4,26.16,Low
EMP_0019,Sales,Junior,5,57.73,2.6,0.24,0,0.393,6.76,0.792,3,3.3,37.57,23.73,Low
EMP_0019,Sales,Junior,6,57.99,2.95,1.17,1,0.395,11.28,0.771,1,2.33,33.49,33.54,Low
EMP_0019,Sales,Junior,7,52.56,2.52,0.0,0,0.571,9.93,0.806,2,3.91,27.35,21.07,Low
EMP_0019,Sales,Junior,8,65.81,2.94,1.26,0,0.426,13.79,0.76,0,4.51,32.29,20.17,Low
EMP_0019,Sales,Junior,9,58.7,3.16,0.52,0,0.474,6.27,0.829,3,3.13,36.93,18.41,Low
EMP_0019,Sales,Junior,10,63.25,1.87,1.1,0,0.184,9.8,0.791,3,4.39,31.28,15.76,Low
EMP_0019,Sales,Junior,11,53.77,0.46,0.32,0,0.446,12.87,0.869,1,3.75,25.77,17.72,Low
